,slug,symbol,name,date,ranknow,open,high,low,close,volume,market,close_ratio,spread
0,bitcoin,BTC,Bitcoin,2013-04-28,1,101.475,101.985,99.075,100.657,0,1500520000,0.5438,3.88
1,bitcoin,BTC,Bitcoin,2013-04-29,1,100.83,110.618,100.5,108.405,0,1491160000,0.7813,13.49
2,bitcoin,BTC,Bitcoin,2013-04-30,1,108.0,110.198,100.538,104.25,0,1597780000,0.3843,12.88
3,bitcoin,BTC,Bitcoin,2013-05-01,1,104.25,104.917,80.79,87.742,0,1542820000,0.2882,32.17
4,bitcoin,BTC,Bitcoin,2013-05-02,1,87.285,94.2,69.21,78.907,0,1292190000,0.3881,33.32
5,bitcoin,BTC,Bitcoin,2013-05-03,1,79.688,81.097,59.325,73.312,0,1180070000,0.6424,29.03
6,bitcoin,BTC,Bitcoin,2013-05-04,1,73.575,86.25,69.375,84.375,0,1089890000,0.8889,22.5
7,bitcoin,BTC,Bitcoin,2013-05-05,1,84.675,89.1,80.355,86.933,0,1254760000,0.7521,11.66
8,bitcoin,BTC,Bitcoin,2013-05-06,1,86.985,93.495,79.98,84.225,0,1289470000,0.3141,18.02
9,bitcoin,BTC,Bitcoin,2013-05-07,1,84.188,85.08,73.275,83.625,0,1248470000,0.8767,15.74
10,bitcoin,BTC,Bitcoin,2013-05-08,1,82.2,86.835,82.2,85.177,0,1219450000,0.6424,6.18
11,bitcoin,BTC,Bitcoin,2013-05-09,1,84.9,85.095,81.945,84.502,0,1259980000,0.8119,4.2
12,bitcoin,BTC,Bitcoin,2013-05-10,1,84.6,91.5,83.662,87.9,0,1255970000,0.5407,10.45
13,bitcoin,BTC,Bitcoin,2013-05-11,1,88.275,89.01,84.758,86.43,0,1311050000,0.3933,5.67
14,bitcoin,BTC,Bitcoin,2013-05-12,1,86.73,88.088,85.08,86.25,0,1288630000,0.389,4.01
15,bitcoin,BTC,Bitcoin,2013-05-13,1,86.115,89.025,85.875,88.485,0,1279980000,0.8286,4.2
16,bitcoin,BTC,Bitcoin,2013-05-14,1,88.485,89.85,82.688,83.625,0,1315720000,0.1309,9.55
17,bitcoin,BTC,Bitcoin,2013-05-15,1,83.55,86.858,77.625,85.665,0,1242760000,0.8708,12.31
18,bitcoin,BTC,Bitcoin,2013-05-16,1,85.665,89.07,84.15,89.07,0,1274620000,1.0,6.56
19,bitcoin,BTC,Bitcoin,2013-05-17,1,88.657,93.975,87.427,92.265,0,1319590000,0.7388,8.73
20,bitcoin,BTC,Bitcoin,2013-05-18,1,92.625,93.938,91.725,92.625,0,1379140000,0.4068,2.95
21,bitcoin,BTC,Bitcoin,2013-05-19,1,92.407,93.375,89.677,91.492,0,1376370000,0.4909,4.93
22,bitcoin,BTC,Bitcoin,2013-05-20,1,91.875,92.715,90.09,91.5,0,1368910000,0.5371,3.5
23,bitcoin,BTC,Bitcoin,2013-05-21,1,91.515,92.25,90.907,92.16,0,1363940000,0.9329999999999999,1.79
24,bitcoin,BTC,Bitcoin,2013-05-22,1,92.168,93.0,91.5,92.918,0,1374130000,0.945,2.0
25,bitcoin,BTC,Bitcoin,2013-05-23,1,92.85,95.198,92.325,95.025,0,1384780000,0.9399,3.83
26,bitcoin,BTC,Bitcoin,2013-05-24,1,94.725,100.387,94.29,99.9,0,1413300000,0.92,8.13
27,bitcoin,BTC,Bitcoin,2013-05-25,1,99.825,99.915,96.675,98.985,0,1489950000,0.713,4.32
28,bitcoin,BTC,Bitcoin,2013-05-26,1,98.993,102.0,97.965,100.11,0,1478030000,0.5316,5.38
29,bitcoin,BTC,Bitcoin,2013-05-27,1,100.125,101.602,93.525,97.312,0,1495520000,0.4689,10.77
30,bitcoin,BTC,Bitcoin,2013-05-28,1,97.328,97.935,94.2,96.75,0,1454310000,0.6827,4.98
31,bitcoin,BTC,Bitcoin,2013-05-29,1,96.75,99.442,95.745,99.225,0,1446190000,0.9412,4.93
32,bitcoin,BTC,Bitcoin,2013-05-30,1,99.188,99.188,95.25,96.6,0,1483180000,0.3429,5.25
33,bitcoin,BTC,Bitcoin,2013-05-31,1,96.6,97.425,94.8,96.75,0,1445050000,0.7429,3.5
34,bitcoin,BTC,Bitcoin,2013-06-01,1,96.608,97.335,95.4,96.975,0,1445800000,0.8140000000000001,2.58
35,bitcoin,BTC,Bitcoin,2013-06-02,1,96.975,97.05,86.287,91.718,0,1451930000,0.5045,14.35
36,bitcoin,BTC,Bitcoin,2013-06-03,1,91.875,91.875,87.0,91.665,0,1376180000,0.9569,6.5
37,bitcoin,BTC,Bitcoin,2013-06-04,1,90.555,92.88,89.325,91.065,0,1357020000,0.4895,4.74
38,bitcoin,BTC,Bitcoin,2013-06-05,1,91.05,92.602,89.925,91.238,0,1365110000,0.4902,3.57
39,bitcoin,BTC,Bitcoin,2013-06-06,1,91.425,92.325,87.938,88.5,0,1371300000,0.1282,5.85
40,bitcoin,BTC,Bitcoin,2013-06-07,1,89.227,89.25,79.815,83.625,0,1338880000,0.4038,12.58
41,bitcoin,BTC,Bitcoin,2013-06-08,1,83.25,83.565,80.475,81.225,0,1249630000,0.2427,4.12
42,bitcoin,BTC,Bitcoin,2013-06-09,1,80.918,81.742,66.375,75.0,0,1215130000,0.5612,20.49
43,bitcoin,BTC,Bitcoin,2013-06-10,1,75.33,82.575,71.25,79.762,0,1131570000,0.7517,15.1
44,bitcoin,BTC,Bitcoin,2013-06-11,1,79.762,82.2,78.0,81.675,0,1198640000,0.875,5.6
